system   D            wsystem.c:583  maybe_parent_dir                 [   0.00053] Also searching C:\Users\heno\documents\visual studio 2010\Projects\Scrapheap Spaceships\
display  D   display_settings.c:191  debug_display_settings           [   0.08737] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08739] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08741] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08743] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08745] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08747] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08749] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08751] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08753] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08756] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08757] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08760] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08762] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08764] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08766] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08768] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08774] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08776] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08778] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08781] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08782] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08785] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08787] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.08789] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08791] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08793] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08795] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.08797] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.08799] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08801] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08803] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08805] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08807] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08810] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08811] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08814] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.08815] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08818] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08819] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08822] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08824] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08826] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08828] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08830] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.08832] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08834] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08836] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08838] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08840] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08843] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08844] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08847] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.08849] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08851] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08853] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08855] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08856] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08859] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08860] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08863] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.08864] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08867] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08868] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08870] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08872] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08874] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.08876] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.08878] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.08880] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08883] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08884] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.08887] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.08888] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
